Seattle Cat,Sanfrans Cat
[INC - CASE DC USE ONLY],OTHER OFFENSES
ANIMAL COMPLAINT,OTHER OFFENSES
ASSAULT,ASSAULT
BIAS INCIDENT,OTHER OFFENSES
BIKE THEFT,VEHICLE THEFT
BURGLARY,BURGLARY
BURGLARY-SECURE PARKING-RES,BURGLARY
CAR PROWL,LARCENY/THEFT
COUNTERFEIT,FORGERY/COUNTERFEITING
DISORDERLY CONDUCT,DISORDERLY CONDUCT
DISPUTE,OTHER OFFENSES
DISTURBANCE,OTHER OFFENSES
DUI,DRUG/NARCOTIC
ELUDING,RUNAWAY
EMBEZZLE,FRAUD
ESCAPE,RUNAWAY
FALSE REPORT,FORGERY/COUNTERFEITING
FIREWORK,OTHER OFFENSES
FORGERY,FORGERY/COUNTERFEITING
FRAUD,FRAUD
HOMICIDE,FAMILY OFFENSES
ILLEGAL DUMPING,VANDALISM
INJURY,OTHER OFFENSES
LIQUOR VIOLATION,DRUNKENNESS
LOST PROPERTY,LARCENY/THEFT
MAIL THEFT,ROBBERY
NARCOTICS,DRUG/NARCOTIC
OBSTRUCT,TRESPASS
OTHER PROPERTY,LARCENY/THEFT
PICKPOCKET,ROBBERY
PORNOGRAPHY,PORNOGRAPHY/OBSCENE MAT
PROPERTY DAMAGE,VANDALISM
PROSTITUTION,PROSTITUTION
PUBLIC NUISANCE,DISORDERLY CONDUCT
PURSE SNATCH,ROBBERY
RECKLESS BURNING,VANDALISM
RECOVERED PROPERTY,NON-CRIMINAL
ROBBERY,ROBBERY
SHOPLIFTING,ROBBERY
STOLEN PROPERTY,STOLEN PROPERTY
THEFT OF SERVICES,LARCENY/THEFT
THREATS,DISORDERLY CONDUCT
TRAFFIC,DISORDERLY CONDUCT
TRESPASS,TRESPASS
VEHICLE THEFT,VEHICLE THEFT
VIOLATION OF COURT ORDER,OTHER OFFENSES
WARRANT ARREST,WARRANTS
WEAPON,WEAPON LAWS
